symbol,name,full_name,name_and_type
Symbol,company name,Company Name,Security Name
AAIT,ishares msci all country asia information technology index fund,iShares MSCI All Country Asia Information Technology Index Fund,iShares MSCI All Country Asia Information Technology Index Fund
AAL,american airlines group,"American Airlines Group, Inc.","American Airlines Group, Inc. - Common Stock"
AAME,atlantic american,Atlantic American Corporation,Atlantic American Corporation - Common Stock
AAOI,applied optoelectronics,"Applied Optoelectronics, Inc.","Applied Optoelectronics, Inc. - Common Stock"
AAON,aaon,"AAON, Inc.","AAON, Inc. - Common Stock"
AAPL,apple,Apple Inc.,Apple Inc. - Common Stock
AAVL,avalanche biotechnologies,"Avalanche Biotechnologies, Inc.","Avalanche Biotechnologies, Inc. - Common Stock"
AAWW,atlas air worldwide holdings,Atlas Air Worldwide Holdings,Atlas Air Worldwide Holdings - Common Stock
AAXJ,ishares msci all country asia ex japan index fund,iShares MSCI All Country Asia ex Japan Index Fund,iShares MSCI All Country Asia ex Japan Index Fund
ABAC,aoxin tianli group,"Aoxin Tianli Group, Inc.","Aoxin Tianli Group, Inc. - Common Shares"
ABAX,abaxis,"ABAXIS, Inc.","ABAXIS, Inc. - Common Stock"
ABCB,ameris bancorp,Ameris Bancorp,Ameris Bancorp - Common Stock
ABCD,cambium learning group,"Cambium Learning Group, Inc.","Cambium Learning Group, Inc. - Common Stock"
ABCO,the advisory board,The Advisory Board Company,The Advisory Board Company - Common Stock
ABCW,anchor bancorp wisconsin,Anchor BanCorp Wisconsin Inc.,Anchor BanCorp Wisconsin Inc. - Common Stock
ABDC,alcentra capital,Alcentra Capital Corp.,Alcentra Capital Corp. - Common Stock
ABGB,abengoa,"Abengoa, S.A.","Abengoa, S.A. - American Depositary Shares"
ABIO,arca biopharma,"ARCA biopharma, Inc.","ARCA biopharma, Inc. - Common Stock"
ABMD,abiomed,"ABIOMED, Inc.","ABIOMED, Inc. - Common Stock"
ABTL,autobytel,Autobytel Inc.,Autobytel Inc. - Common Stock
ABY,abengoa yield,Abengoa Yield plc,Abengoa Yield plc - Ordinary Shares
ACAD,acadia pharmaceuticals,ACADIA Pharmaceuticals Inc.,ACADIA Pharmaceuticals Inc. - Common Stock
ACAS,american capital,"American Capital, Ltd.","American Capital, Ltd. - Common Stock"
ACAT,arctic cat,Arctic Cat Inc.,Arctic Cat Inc. - Common Stock
ACET,aceto,Aceto Corporation,Aceto Corporation - Common Stock
ACFC,atlantic coast financial,Atlantic Coast Financial Corporation,Atlantic Coast Financial Corporation - Common Stock
ACFN,acorn energy,"Acorn Energy, Inc.","Acorn Energy, Inc. - Common Stock"
ACGL,arch capital group,Arch Capital Group Ltd.,Arch Capital Group Ltd. - Common Stock
ACHC,acadia healthcare company,"Acadia Healthcare Company, Inc.","Acadia Healthcare Company, Inc. - Common Stock"
ACHN,achillion pharmaceuticals,"Achillion Pharmaceuticals, Inc.","Achillion Pharmaceuticals, Inc. - Common Stock"
ACIW,aci worldwide,"ACI Worldwide, Inc.","ACI Worldwide, Inc. - Common Stock"
ACLS,axcelis technologies,"Axcelis Technologies, Inc.","Axcelis Technologies, Inc. - Common Stock"
ACNB,acnb,ACNB Corporation,ACNB Corporation - Common Stock
ACOR,acorda therapeutics,"Acorda Therapeutics, Inc.","Acorda Therapeutics, Inc. - Common Stock"
ACPW,active power,"Active Power, Inc.","Active Power, Inc. - Common Stock"
ACRX,acelrx pharmaceuticals,"AcelRx Pharmaceuticals, Inc.","AcelRx Pharmaceuticals, Inc. - Common Stock"
ACSF,american capital senior floating,"American Capital Senior Floating, Ltd.","American Capital Senior Floating, Ltd. - Common Stock"
ACST,acasti pharma,"Acasti Pharma, Inc.","Acasti Pharma, Inc. - Class A Common Stock"
ACTA,actua,Actua Corporation,Actua Corporation - Common Stock
ACTG,acacia research,Acacia Research Corporation,Acacia Research Corporation - Common Stock
ACTS,actions semiconductor co.,"Actions Semiconductor Co., Ltd.","Actions Semiconductor Co., Ltd. - American Depositary Shares, each representing Six Ordinary Shares"
ACUR,acura pharmaceuticals,"Acura Pharmaceuticals, Inc.","Acura Pharmaceuticals, Inc. - Common Stock"
ACWI,ishares msci acwi index fund,iShares MSCI ACWI Index Fund,iShares MSCI ACWI Index Fund
ACWX,ishares msci acwi ex us index fund,iShares MSCI ACWI ex US Index Fund,iShares MSCI ACWI ex US Index Fund
ACXM,acxiom,Acxiom Corporation,Acxiom Corporation - Common Stock
ADAT,authentidate holding,Authentidate Holding Corp.,Authentidate Holding Corp. - Common Stock
ADBE,adobe systems,Adobe Systems Incorporated,Adobe Systems Incorporated - Common Stock
ADEP,adept technology,"Adept Technology, Inc.","Adept Technology, Inc. - Common Stock"
ADES,advanced emissions solutions,"Advanced Emissions Solutions, Inc.","Advanced Emissions Solutions, Inc. - Common Stock"
ADHD,alcobra,Alcobra Ltd.,Alcobra Ltd. - Ordinary Shares
ADI,analog devices,"Analog Devices, Inc.","Analog Devices, Inc. - Common Stock"
ADMA,adma biologics,ADMA Biologics Inc,ADMA Biologics Inc - Common Stock
ADMP,adamis pharmaceuticals,Adamis Pharmaceuticals Corporation,Adamis Pharmaceuticals Corporation - Common Stock
ADMS,adamas pharmaceuticals,"Adamas Pharmaceuticals, Inc.","Adamas Pharmaceuticals, Inc. - Common Stock"
ADNC,audience,"Audience, Inc.","Audience, Inc. - Common Stock"
ADP,automatic data processing,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc. - Common Stock"
ADRA,bldrs asia 50 adr index fund,BLDRS Asia 50 ADR Index Fund,BLDRS Asia 50 ADR Index Fund
ADRD,bldrs developed markets 100 adr index fund,BLDRS Developed Markets 100 ADR Index Fund,BLDRS Developed Markets 100 ADR Index Fund
ADRE,bldrs emerging markets 50 adr index fund,BLDRS Emerging Markets 50 ADR Index Fund,BLDRS Emerging Markets 50 ADR Index Fund
ADRU,bldrs europe 100 adr index fund,BLDRS Europe 100 ADR Index Fund,BLDRS Europe 100 ADR Index Fund
ADSK,autodesk,"Autodesk, Inc.","Autodesk, Inc. - Common Stock"
ADTN,adtran,"ADTRAN, Inc.","ADTRAN, Inc. - Common Stock"
ADUS,addus homecare,Addus HomeCare Corporation,Addus HomeCare Corporation - Common Stock
ADVS,advent software,"Advent Software, Inc.","Advent Software, Inc. - Common Stock"
ADXS,advaxis,"Advaxis, Inc.","Advaxis, Inc. - Common Stock"
ADXSW,advaxis,"Advaxis, Inc.","Advaxis, Inc. - Warrants"
AEGN,aegion,Aegion Corp,Aegion Corp - Class A Common Stock
AEGR,aegerion pharmaceuticals,"Aegerion Pharmaceuticals, Inc.","Aegerion Pharmaceuticals, Inc. - Common Stock"
AEHR,aehr test systems,Aehr Test Systems,Aehr Test Systems - Common Stock
AEIS,advanced energy industries,"Advanced Energy Industries, Inc.","Advanced Energy Industries, Inc. - Common Stock"
AEPI,aep industries,AEP Industries Inc.,AEP Industries Inc. - Common Stock
AERI,aerie pharmaceuticals,"Aerie Pharmaceuticals, Inc.","Aerie Pharmaceuticals, Inc. - Common Stock"
AETI,american electric technologies,"American Electric Technologies, Inc.","American Electric Technologies, Inc. - Common Stock"
AEY,addvantage technologies group,"ADDvantage Technologies Group, Inc.","ADDvantage Technologies Group, Inc. - Common Stock"
AEZS,aeterna zentaris,AEterna Zentaris Inc.,AEterna Zentaris Inc. - Common Stock
AFAM,almost family,Almost Family Inc,Almost Family Inc - Common Stock
AFCB,athens bancshares,Athens Bancshares Corporation,Athens Bancshares Corporation - Common Stock
AFFX,affymetrix,"Affymetrix, Inc.","Affymetrix, Inc. - Common Stock"
AFH,atlas financial holdings,"Atlas Financial Holdings, Inc.","Atlas Financial Holdings, Inc. - Ordinary Shares"
AFMD,affimed,Affimed N.V.,Affimed N.V. - Common Stock
AFOP,alliance fiber optic products,"Alliance Fiber Optic Products, Inc.","Alliance Fiber Optic Products, Inc. - Common Stock"
AFSI,amtrust financial services,"AmTrust Financial Services, Inc.","AmTrust Financial Services, Inc. - Common Stock"
AGEN,agenus,Agenus Inc.,Agenus Inc. - Common Stock
AGII,argo group international holdings,"Argo Group International Holdings, Ltd.","Argo Group International Holdings, Ltd. - Common Stock"
AGIIL,argo group international holdings,"Argo Group International Holdings, Ltd.","Argo Group International Holdings, Ltd. - 6.5% Senior Notes Due 2042"
AGIO,agios pharmaceuticals,"Agios Pharmaceuticals, Inc.","Agios Pharmaceuticals, Inc. - Common Stock"
AGNC,american capital agency,American Capital Agency Corp.,American Capital Agency Corp. - Common Stock
AGNCB,american capital agency,American Capital Agency Corp.,American Capital Agency Corp. - Depositary Shares representing 1/1000th Series B Preferred Stock
AGNCP,american capital agency,American Capital Agency Corp.,American Capital Agency Corp. - Cumulative Preferred Series A
AGND,wisdomtree barclays u.s. aggregate bond negative duration fund,WisdomTree Barclays U.S. Aggregate Bond Negative Duration Fund,WisdomTree Barclays U.S. Aggregate Bond Negative Duration Fund
AGRX,agile therapeutics,"Agile Therapeutics, Inc.","Agile Therapeutics, Inc. - Common Stock"
AGTC,applied genetic technologies,Applied Genetic Technologies Corporation,Applied Genetic Technologies Corporation - Common Stock
AGYS,agilysys,"Agilysys, Inc.","Agilysys, Inc. - Common Stock"
AGZD,wisdomtree barclays u.s. aggregate bond zero duration fund,WisdomTree Barclays U.S. Aggregate Bond Zero Duration Fund,WisdomTree Barclays U.S. Aggregate Bond Zero Duration Fund
AHGP,alliance holdings gp,"Alliance Holdings GP, L.P.","Alliance Holdings GP, L.P. - Common Units Representing Limited Partner Interests"
AHPI,allied healthcare products,"Allied Healthcare Products, Inc.","Allied Healthcare Products, Inc. - Common Stock"
AIMC,altra industrial motion,Altra Industrial Motion Corp.,Altra Industrial Motion Corp. - Common Stock
AINV,apollo investment,Apollo Investment Corporation,Apollo Investment Corporation - Closed End Fund
AIQ,alliance healthcare services,"Alliance HealthCare Services, Inc.","Alliance HealthCare Services, Inc. - Common Stock"
AIRM,air methods,Air Methods Corporation,Air Methods Corporation - Common Stock
AIRR,first trust rba american industrial renaissance etf,First Trust RBA American Industrial Renaissance ETF,First Trust RBA American Industrial Renaissance ETF
AIRT,air t,"Air T, Inc.","Air T, Inc. - Common Stock"
AIXG,aixtron,Aixtron SE,"Aixtron SE - American Depositary Shares, each representing one Ordinary Share"
AKAM,akamai technologies,"Akamai Technologies, Inc.","Akamai Technologies, Inc. - Common Stock"
AKAO,achaogen,"Achaogen, Inc.","Achaogen, Inc. - Common Stock"
AKBA,akebia therapeutics,"Akebia Therapeutics, Inc.","Akebia Therapeutics, Inc. - Common Stock"
AKER,akers biosciences,Akers Biosciences Inc,Akers Biosciences Inc - Common Stock
AKRX,akorn,"Akorn, Inc.","Akorn, Inc. - Common Stock"
ALCO,alico,"Alico, Inc.","Alico, Inc. - Common Stock"
ALDR,alder biopharmaceuticals,"Alder BioPharmaceuticals, Inc.","Alder BioPharmaceuticals, Inc. - Common Stock"
ALDX,aldeyra therapeutics,"Aldeyra Therapeutics, Inc.","Aldeyra Therapeutics, Inc. - Common Stock"
ALGN,align technology,"Align Technology, Inc.","Align Technology, Inc. - Common Stock"
ALGT,allegiant travel,Allegiant Travel Company,Allegiant Travel Company - Common Stock
ALIM,alimera sciences,"Alimera Sciences, Inc.","Alimera Sciences, Inc. - Common Stock"
ALKS,alkermes,Alkermes plc,Alkermes plc - Ordinary Shares
ALLB,"alliance bancorp, inc. of pennsylvania","Alliance Bancorp, Inc. of Pennsylvania","Alliance Bancorp, Inc. of Pennsylvania - Common Stock"
ALLT,allot communications,Allot Communications Ltd.,Allot Communications Ltd. - Ordinary Shares
ALNY,alnylam pharmaceuticals,"Alnylam Pharmaceuticals, Inc.","Alnylam Pharmaceuticals, Inc. - Common Stock"
ALOG,analogic,Analogic Corporation,Analogic Corporation - Common Stock
ALOT,astro,Astro,"Astro-Med, Inc. - Common Stock"
ALQA,alliqua,"Alliqua, Inc.","Alliqua, Inc. - Common Stock"
ALSK,alaska communications systems group,"Alaska Communications Systems Group, Inc.","Alaska Communications Systems Group, Inc. - Common Stock"
ALTR,altera,Altera Corporation,Altera Corporation - Common Stock
ALXA,alexza pharmaceuticals,"Alexza Pharmaceuticals, Inc.","Alexza Pharmaceuticals, Inc. - Common Stock"
ALXN,alexion pharmaceuticals,"Alexion Pharmaceuticals, Inc.","Alexion Pharmaceuticals, Inc. - Common Stock"
AMAG,amag pharmaceuticals,"AMAG Pharmaceuticals, Inc.","AMAG Pharmaceuticals, Inc. - Common Stock"
AMAT,applied materials,"Applied Materials, Inc.","Applied Materials, Inc. - Common Stock"
AMBA,ambarella,"Ambarella, Inc.","Ambarella, Inc. - Ordinary Shares"
AMBC,ambac financial group,"Ambac Financial Group, Inc.","Ambac Financial Group, Inc. - Common Stock"
AMBCW,ambac financial group,"Ambac Financial Group, Inc.","Ambac Financial Group, Inc. - Warrants"
AMCC,applied micro circuits,Applied Micro Circuits Corporation,Applied Micro Circuits Corporation - Common Stock
AMCF,andatee china marine fuel services,Andatee China Marine Fuel Services Corporation,Andatee China Marine Fuel Services Corporation - Common Stock
AMCN,airmedia group,AirMedia Group Inc,"AirMedia Group Inc - American Depositary Shares, each representing two ordinary shares"
AMCX,amc networks,AMC Networks Inc.,AMC Networks Inc. - Class A Common Stock
AMD,advanced micro devices,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc. - Common Stock"
AMDA,amedica,Amedica Corporation,Amedica Corporation - Common Stock
AMED,amedisys,Amedisys Inc,Amedisys Inc - Common Stock
AMGN,amgen,Amgen Inc.,Amgen Inc. - Common Stock
AMIC,american independence,American Independence Corp.,American Independence Corp. - Common Stock
AMKR,amkor technology,"Amkor Technology, Inc.","Amkor Technology, Inc. - Common Stock"
AMNB,american national bankshares,"American National Bankshares, Inc.","American National Bankshares, Inc. - Common Stock"
AMOT,allied motion technologies,"Allied Motion Technologies, Inc.","Allied Motion Technologies, Inc. - Common Stock"
AMOV,"america movil, s.a.b. de","America Movil, S.A.B. de C.V.","America Movil, S.A.B. de C.V. - American Depositary Shares, each representing 20 A Shares"
AMPH,amphastar pharmaceuticals,"Amphastar Pharmaceuticals, Inc.","Amphastar Pharmaceuticals, Inc. - Common Stock"
AMRB,american river bankshares,American River Bankshares,American River Bankshares - Common Stock
AMRI,albany molecular research,"Albany Molecular Research, Inc.","Albany Molecular Research, Inc. - Common Stock"
AMRK,a,A,"A-Mark Precious Metals, Inc. - Common Stock"
AMRN,amarin corporation,Amarin Corporation plc,"Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share"
AMRS,amyris,"Amyris, Inc.","Amyris, Inc. - Common Stock"
AMSC,american superconductor,American Superconductor Corporation,American Superconductor Corporation - Common Stock
AMSF,amerisafe,"AMERISAFE, Inc.","AMERISAFE, Inc. - Common Stock"
AMSG,amsurg,Amsurg Corp.,Amsurg Corp. - Common Stock
AMSGP,amsurg,Amsurg Corp.,"Amsurg Corp. - 5.250% Mandatory Convertible Preferred Stock, Series A-1"
AMSWA,american software,"American Software, Inc.","American Software, Inc. - Class A Common Stock"
AMTX,aemetis,"Aemetis, Inc","Aemetis, Inc - Common Stock"
AMWD,american woodmark,American Woodmark Corporation,American Woodmark Corporation - Common Stock
AMZN,amazon.com,"Amazon.com, Inc.","Amazon.com, Inc. - Common Stock"
ANAC,anacor pharmaceuticals,"Anacor Pharmaceuticals, Inc.","Anacor Pharmaceuticals, Inc. - Common Stock"
ANAD,anadigics,"ANADIGICS, Inc.","ANADIGICS, Inc. - Common Stock"
ANAT,american national insurance,American National Insurance Company,American National Insurance Company - Common Stock
ANCB,anchor bancorp,Anchor Bancorp,Anchor Bancorp - Common Stock
ANCI,american caresource holdings,American Caresource Holdings Inc,American Caresource Holdings Inc - Common Stock
ANCX,access national,Access National Corporation,Access National Corporation - Common Stock
ANDE,the andersons,"The Andersons, Inc.","The Andersons, Inc. - Common Stock"
ANGI,angie's list,"Angie's List, Inc.","Angie's List, Inc. - Common Stock"
ANGO,angiodynamics,"AngioDynamics, Inc.","AngioDynamics, Inc. - Common Stock"
ANIK,anika therapeutics,Anika Therapeutics Inc.,Anika Therapeutics Inc. - Common Stock
ANIP,ani pharmaceuticals,"ANI Pharmaceuticals, Inc.","ANI Pharmaceuticals, Inc. - Common Stock"
ANSS,ansys,"ANSYS, Inc.","ANSYS, Inc. - Common Stock"
ANTH,anthera pharmaceuticals,"Anthera Pharmaceuticals, Inc.","Anthera Pharmaceuticals, Inc. - Common Stock"
ANY,sphere 3d,Sphere 3D Corp,Sphere 3D Corp - Common Shares
AOSL,alpha and omega semiconductor,Alpha and Omega Semiconductor Limited,Alpha and Omega Semiconductor Limited - Common Shares
APAGF,apco oil and gas international,Apco Oil and Gas International Inc.,Apco Oil and Gas International Inc. - Ordinary Shares
APDN,applied dna sciences,Applied DNA Sciences Inc,Applied DNA Sciences Inc - Common Stock
APDNW,applied dna sciences,Applied DNA Sciences Inc,Applied DNA Sciences Inc - Warrant
APEI,american public education,"American Public Education, Inc.","American Public Education, Inc. - Common Stock"
APOG,apogee enterprises,"Apogee Enterprises, Inc.","Apogee Enterprises, Inc. - Common Stock"
APOL,apollo education group,"Apollo Education Group, Inc.","Apollo Education Group, Inc. - Class A Common Stock"
APPY,venaxis,"Venaxis, Inc.","Venaxis, Inc. - Common Stock"
APRI,apricus biosciences,"Apricus Biosciences, Inc","Apricus Biosciences, Inc - Common Stock"
APSA,alto palermo,Alto Palermo S.A.,"Alto Palermo S.A. - American Depository Shares, each representing forty shares of Common Stock"
APTO,aptose biosciences,"Aptose Biosciences, Inc.","Aptose Biosciences, Inc. - Common Shares"
APWC,asia pacific wire & cable corporation,Asia Pacific Wire & Cable Corporation Limited,"Asia Pacific Wire & Cable Corporation Limited - Common shares, Par value .01 per share"
AQXP,aquinox pharmaceuticals,"Aquinox Pharmaceuticals, Inc.","Aquinox Pharmaceuticals, Inc. - Common Stock"
ARAY,accuray,Accuray Incorporated,Accuray Incorporated - Common Stock
ARCB,arcbest,ArcBest Corporation,ArcBest Corporation - Common Stock
ARCC,ares capital,Ares Capital Corporation,Ares Capital Corporation - Closed End Fund
ARCI,appliance recycling centers of america,"Appliance Recycling Centers of America, Inc.","Appliance Recycling Centers of America, Inc. - Common Stock"
ARCP,american realty capital properties,"American Realty Capital Properties, Inc.","American Realty Capital Properties, Inc. - Common Stock"
ARCPP,american realty capital properties,"American Realty Capital Properties, Inc.","American Realty Capital Properties, Inc. - 6.70% Series F Cumulative Redeemable Preferred Stock"
ARCW,arc group worldwide,"ARC Group Worldwide, Inc.","ARC Group Worldwide, Inc. - Common Stock"
ARDM,aradigm,Aradigm Corporation,Aradigm Corporation - Common Stock
ARDX,ardelyx,"Ardelyx, Inc.","Ardelyx, Inc. - Common Stock"
AREX,approach resources,Approach Resources Inc.,Approach Resources Inc. - Common Stock
ARGS,argos therapeutics,"Argos Therapeutics, Inc.","Argos Therapeutics, Inc. - Common Stock"
ARIA,ariad pharmaceuticals,"ARIAD Pharmaceuticals, Inc.","ARIAD Pharmaceuticals, Inc. - Common Stock"
ARII,american railcar industries,"American Railcar Industries, Inc.","American Railcar Industries, Inc. - Common Stock"
ARIS,ari network services,"ARI Network Services, Inc.","ARI Network Services, Inc. - Common Stock"
ARKR,ark restaurants,Ark Restaurants Corp.,Ark Restaurants Corp. - Common Stock
ARLP,alliance resource partners,"Alliance Resource Partners, L.P.","Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests"
ARMH,arm holdings,ARM Holdings plc,ARM Holdings plc - American Depositary Shares each representing 3 Ordinary Shares
ARNA,arena pharmaceuticals,"Arena Pharmaceuticals, Inc.","Arena Pharmaceuticals, Inc. - Common Stock"
AROW,arrow financial,Arrow Financial Corporation,Arrow Financial Corporation - Common Stock
ARQL,arqule,"ArQule, Inc.","ArQule, Inc. - Common Stock"
ARRS,arris group,"ARRIS Group, Inc.","ARRIS Group, Inc. - Common Stock"
ARRY,array biopharma,Array BioPharma Inc.,Array BioPharma Inc. - Common Stock
ARTNA,artesian resources,Artesian Resources Corporation,Artesian Resources Corporation - Class A Non-Voting Common Stock
ARTW,art's,Art's,"Art's-Way Manufacturing Co., Inc. - Common Stock"
ARTX,arotech,Arotech Corporation,Arotech Corporation - Common Stock
ARUN,aruba networks,"Aruba Networks, Inc.","Aruba Networks, Inc. - Common Stock"
ARWR,arrowhead research,Arrowhead Research Corporation,Arrowhead Research Corporation - Common Stock
ASBB,asb bancorp,"ASB Bancorp, Inc.","ASB Bancorp, Inc. - Common Stock"
ASBI,ameriana bancorp,Ameriana Bancorp,Ameriana Bancorp - Common Stock
ASCMA,ascent capital group,"Ascent Capital Group, Inc.","Ascent Capital Group, Inc. - Series A Common Stock"
ASEI,american science and engineering,"American Science and Engineering, Inc.","American Science and Engineering, Inc. - Common Stock"
ASFI,asta funding,"Asta Funding, Inc.","Asta Funding, Inc. - Common Stock"
ASMB,assembly biosciences,"Assembly Biosciences, Inc.","Assembly Biosciences, Inc. - Common Stock"
ASMI,asm international,ASM International N.V.,ASM International N.V. - Common Shares
ASML,asml holding,ASML Holding N.V.,ASML Holding N.V. - ADS represents 1 ordinary share
ASNA,ascena retail group,"Ascena Retail Group, Inc.","Ascena Retail Group, Inc. - Common Stock"
ASPS,altisource portfolio solutions,Altisource Portfolio Solutions S.A.,Altisource Portfolio Solutions S.A. - Common Stock
ASPX,auspex pharmaceuticals,"Auspex Pharmaceuticals, Inc.","Auspex Pharmaceuticals, Inc. - Common Stock"
ASRV,ameriserv financial,AmeriServ Financial Inc.,AmeriServ Financial Inc. - Common Stock
ASRVP,ameriserv financial,AmeriServ Financial Inc.,"AmeriServ Financial Inc. - AmeriServ Financial Trust I - 8.45% Beneficial Unsecured Securities, Series A"
ASTC,astrotech,Astrotech Corporation,Astrotech Corporation - Common Stock
ASTE,astec industries,"Astec Industries, Inc.","Astec Industries, Inc. - Common Stock"
ASTI,ascent solar technologies,"Ascent Solar Technologies, Inc.","Ascent Solar Technologies, Inc. - Common Stock"
ASUR,asure software,Asure Software Inc,Asure Software Inc - Common Stock
ASYS,amtech systems,"Amtech Systems, Inc.","Amtech Systems, Inc. - Common Stock"
ATAI,ata,ATA Inc.,"ATA Inc. - American Depositary Shares, each representing two common shares"
ATAX,america first multifamily investors,"America First Multifamily Investors, L.P.","America First Multifamily Investors, L.P. - Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests"
ATEA,astea international,"Astea International, Inc.","Astea International, Inc. - Common Stock"
ATEC,alphatec holdings,"Alphatec Holdings, Inc.","Alphatec Holdings, Inc. - Common Stock"
ATHN,athenahealth,"athenahealth, Inc.","athenahealth, Inc. - Common Stock"
ATHX,athersys,"Athersys, Inc.","Athersys, Inc. - Common Stock"
ATLC,atlanticus holdings,Atlanticus Holdings Corporation,Atlanticus Holdings Corporation - Common Stock
ATLO,ames national,Ames National Corporation,Ames National Corporation - Common Stock
ATML,atmel,Atmel Corporation,Atmel Corporation - Common Stock
ATNI,atlantic tele,Atlantic Tele,"Atlantic Tele-Network, Inc. - Common Stock"
ATNY,api technologies,API Technologies Corp.,API Technologies Corp. - Common Stock
ATOS,atossa genetics,Atossa Genetics Inc.,Atossa Genetics Inc. - Common Stock
ATRA,atara biotherapeutics,"Atara Biotherapeutics, Inc.","Atara Biotherapeutics, Inc. - Common Stock"
ATRC,atricure,"AtriCure, Inc.","AtriCure, Inc. - Common Stock"
ATRI,atrion,ATRION Corporation,ATRION Corporation - Common Stock
ATRM,atrm holdings,"ATRM Holdings, Inc.","ATRM Holdings, Inc. - Common Stock"
ATRO,astronics,Astronics Corporation,Astronics Corporation - Common Stock
ATRS,antares pharma,"Antares Pharma, Inc.","Antares Pharma, Inc. - Common Stock"
ATSG,air transport services group,"Air Transport Services Group, Inc","Air Transport Services Group, Inc - Common Stock"
ATTU,attunity,Attunity Ltd.,Attunity Ltd. - Ordinary Shares
ATVI,activision blizzard,"Activision Blizzard, Inc","Activision Blizzard, Inc - Common Stock"
AUBN,auburn national bancorporation,"Auburn National Bancorporation, Inc.","Auburn National Bancorporation, Inc. - Common Stock"
AUDC,audiocodes,AudioCodes Ltd.,AudioCodes Ltd. - Ordinary Shares
AUMA,ar capital acquisition,AR Capital Acquisition Corp.,AR Capital Acquisition Corp. - Common Stock
AUMAU,ar capital acquisition,AR Capital Acquisition Corp.,AR Capital Acquisition Corp. - Units
AUMAW,ar capital acquisition,AR Capital Acquisition Corp.,AR Capital Acquisition Corp. - Warrants
AUPH,aurinia pharmaceuticals,Aurinia Pharmaceuticals Inc,Aurinia Pharmaceuticals Inc - Common Shares
AUXL,auxilium pharmaceuticals,"Auxilium Pharmaceuticals, Inc.","Auxilium Pharmaceuticals, Inc. - Common Stock"
AVAV,aerovironment,"AeroVironment, Inc.","AeroVironment, Inc. - Common Stock"
AVEO,aveo pharmaceuticals,"AVEO Pharmaceuticals, Inc.","AVEO Pharmaceuticals, Inc. - Common Stock"
AVGO,avago technologies,Avago Technologies Limited,Avago Technologies Limited - Ordinary Shares
AVHI,a v homes,"A V Homes, Inc.","A V Homes, Inc. - Common Stock"
AVID,avid technology,"Avid Technology, Inc.","Avid Technology, Inc. - Common Stock"
AVNR,avanir pharmaceuticals,"Avanir Pharmaceuticals, Inc.","Avanir Pharmaceuticals, Inc. - Class A Common Stock"
AVNW,aviat networks,"Aviat Networks, Inc.","Aviat Networks, Inc. - Common Stock"
AWAY,homeaway,"HomeAway, Inc.","HomeAway, Inc. - Common Stock"
AWRE,aware,"Aware, Inc.","Aware, Inc. - Common Stock"
AXAS,abraxas petroleum,Abraxas Petroleum Corporation,Abraxas Petroleum Corporation - Common Stock
AXDX,accelerate diagnostics,"Accelerate Diagnostics, Inc.","Accelerate Diagnostics, Inc. - Common Stock"
AXGN,axogen,"AxoGen, Inc.","AxoGen, Inc. - Common Stock"
AXJS,ishares msci all country asia ex japan small cap index fund,iShares MSCI All Country Asia ex Japan Small Cap Index Fund,iShares MSCI All Country Asia ex Japan Small Cap Index Fund
AXPW,axion power international,"Axion Power International, Inc.","Axion Power International, Inc. - Common Stock"
AXPWW,axion power international,"Axion Power International, Inc.","Axion Power International, Inc. - Series A Warrants"
AXTI,axt,AXT Inc,AXT Inc - Common Stock
AZPN,aspen technology,"Aspen Technology, Inc.","Aspen Technology, Inc. - Common Stock"
BABY,natus medical,Natus Medical Incorporated,Natus Medical Incorporated - Common Stock
BAGR,diversified restaurant holdings,"Diversified Restaurant Holdings, Inc.","Diversified Restaurant Holdings, Inc. - Common Stock"
BAMM,books,Books,"Books-A-Million, Inc. - Common Stock"
BANF,bancfirst,BancFirst Corporation,BancFirst Corporation - Common Stock
BANFP,bancfirst,BancFirst Corporation,BancFirst Corporation - 7.2% Cumulative Trust Preferred Securities
BANR,banner,Banner Corporation,Banner Corporation - Common Stock
BANX,stonecastle financial,StoneCastle Financial Corp,StoneCastle Financial Corp - Common Stock
BASI,bioanalytical systems,"Bioanalytical Systems, Inc.","Bioanalytical Systems, Inc. - Common Stock"
BBBY,bed bath & beyond,Bed Bath & Beyond Inc.,Bed Bath & Beyond Inc. - Common Stock
BBC,bioshares biotechnology clinical trials fund,BioShares Biotechnology Clinical Trials Fund,BioShares Biotechnology Clinical Trials Fund
BBCN,bbcn bancorp,"BBCN Bancorp, Inc.","BBCN Bancorp, Inc. - Common Stock"
BBEP,breitburn energy partners,"BreitBurn Energy Partners, L.P.","BreitBurn Energy Partners, L.P. - Common Units Representing Limited Partnership"
BBEPP,breitburn energy partners,"BreitBurn Energy Partners, L.P.","BreitBurn Energy Partners, L.P. - 8.25% Series A Cumulative Redeemable Perpetual Preferred Units"
BBGI,beasley broadcast group,"Beasley Broadcast Group, Inc.","Beasley Broadcast Group, Inc. - Class A Common Stock"
BBLU,blue earth,"Blue Earth, Inc.","Blue Earth, Inc. - Common Stock"
